"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute"
"29","Fosen LA6UR","145.65000","145.05000","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Optional Signal","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"30","Fosen LA7KRR","434.62500","432.62500","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"31","Fosen LA8FR","145.62500","145.02500","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"32","Fosen LA8UR","434.77500","432.77500","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"33","Fosen LA9UR","145.78750","145.18750","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"34","Fredriksta LA7FR","434.70000","432.70000","A-Analog","Turbo","12.5K","Off","85.4","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","255","255","0","0"
"35","Fredriksta LD1FR","145.68750","145.08750","A-Analog","Turbo","12.5K","Off","85.4","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"36","Geilo LA8HR","145.65000","145.05000","A-Analog","Turbo","12.5K","Off","74.4","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"37","Grenland LA5GR","145.65000","145.05000","A-Analog","Turbo","12.5K","Off","74.4","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"38","Grenland LA6YR","434.85000","432.85000","A-Analog","Turbo","12.5K","Off","88.5","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"39","Halden LA1TRR","434.87500","432.87500","A-Analog","Turbo","12.5K","Off","67.0","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"40","Halden LA3FRR","145.77500","145.17500","A-Analog","Turbo","12.5K","Off","67.0","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"41","Hallingdal LA6NR","145.77500","145.17500","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"42","Harstad LA7HR","145.65000","145.05000","A-Analog","Turbo","12.5K","Off","88.5","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"43","Harstad LA8LRR","145.67500","145.07500","A-Analog","Turbo","12.5K","Off","88.5","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"44","Harstad LA9HR","145.70000","145.10000","A-Analog","Turbo","12.5K","Off","88.5","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"45","Haugesund LA8LR","145.65000","145.05000","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"46","Heggedal LA9XR","434.97500","432.97500","A-Analog","Turbo","12.5K","110.9","110.9","242 Norway","Group Call","242","Master","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"47","Holmestr LA6HR","434.65000","432.65000","A-Analog","Turbo","12.5K","Off","74.4","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"48","Horten LA5HR","145.62500","145.02500","A-Analog","Turbo","12.5K","Off","74.4","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"49","Horten LA6HR","434.65000","432.65000","A-Analog","Turbo","12.5K","Off","74.4","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"50","Innland B LA5MR","145.63750","145.03750","A-Analog","Turbo","12.5K","Off","88.5","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","Romerike analog","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"51","Innland LA5MR","145.62500","145.02500","A-Analog","Turbo","12.5K","Off","88.5","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","Romerike analog","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"52","Innland LA7GR","145.72500","145.12500","A-Analog","Turbo","12.5K","Off","100.0","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","Romerike analog","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"53","Innland LA9AR","145.60000","145.00000","A-Analog","Turbo","12.5K","Off","88.5","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","Romerike analog","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"54","Inn-Tr°n LA8JR","145.45000","433.00000","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","100","100","0","0"
"55","Jaeren LA5CR","434.67500","432.67500","A-Analog","Turbo","12.5K","Off","107.2","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"56","Jaeren LA6ER","145.72500","145.12500","A-Analog","Turbo","12.5K","Off","107.2","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"57","Jaeren LA8DR","145.67500","145.07500","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"58","Jaeren LA8SR","145.77500","145.17500","A-Analog","Turbo","12.5K","Off","88.5","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"59","Kirkenes LA6VR","145.75000","145.15000","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"60","Kirkenes LA9ARR","145.60000","145.00000","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"61","Kolsaas LA1KRR","434.92500","432.92500","A-Analog","Turbo","12.5K","110.9","110.9","242 Norway","Group Call","242","Master","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","Romerike analog","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"62","Kongsberg LA5JR","434.62500","432.62500","A-Analog","Turbo","12.5K","Off","74.4","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"63","Kongsberg LA8KR","145.70000","145.10000","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Optional Signal","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"64","Kongsving LA2KRR","434.65000","432.65000","A-Analog","Turbo","12.5K","71.9","71.9","242 Norway","Group Call","242","Master","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","Romerike analog","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"65","Kongsving LA2XRR","145.71250","145.11250","A-Analog","Turbo","12.5K","71.9","71.9","242 Norway","Group Call","242","Master","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","Romerike analog","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"66","Kongsving LA5KR","145.65000","145.05000","A-Analog","Turbo","12.5K","71.9","71.9","242 Norway","Group Call","242","Master","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","Romerike analog","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"67","Kr,sand S LA4ARR","434.62500","432.62500","A-Analog","Turbo","12.5K","Off","192.8","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"68","Kr,sand S LA6JR","145.60000","145.00000","A-Analog","Turbo","12.5K","Off","192.8","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"69","Kr,sand S LA6KR","145.75000","145.15000","A-Analog","Turbo","12.5K","Off","192.8","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"70","Kr.sand S LA9KR","145.60000","145.00000","A-Analog","Turbo","12.5K","Off","192.8","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"71","Kr.sund N LA6XR","145.60000","145.00000","A-Analog","Turbo","12.5K","Off","82.5","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"72","Kr.sund N LA6YRR","434.60000","432.60000","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"73","Kvafjord LA9XRR","434.97500","432.97500","A-Analog","Turbo","12.5K","Off","88.5","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","1","0","255","255","0","0"
"74","Kvineshei LA4KRR","434.82500","432.82500","A-Analog","Turbo","12.5K","Off","107.2","242 Norway","Group Call","242","Master","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"75","Mandal LA4MRR","434.90000","432.90000","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"76","Mandal LA7ER","145.65000","145.05000","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
"77","Mandal LA9MR","145.67500","145.07500","A-Analog","Turbo","12.5K","Off","Off","242 Norway","Group Call","242","Master","Off","Carrier","DTMF","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0"
