"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency"
"20","DMR Sarpsborg","Sarpsborg lokal|Sarpsborg 242|Sarpsborg North|Sarpsborg West|Sarpsborg Centra|Sarpsborg South|Sarpsborg Parrot|Sarpsborg Chat 4|Sarpsborg Chat 3|Sarpsborg Chat 2|Sarpsborg Chat 1","434.81250|434.81250|434.81250|434.81250|434.81250|434.81250|434.81250|434.81250|434.81250|434.81250|434.81250","432.81250|432.81250|432.81250|432.81250|432.81250|432.81250|432.81250|432.81250|432.81250|432.81250|432.81250","Sarpsborg lokal","434.81250","432.81250","Sarpsborg 242","434.81250","432.81250"
"21","DMR Drammen","Drammen Lokal|Drammen 242|Drammen 24211|Drammen North|Drammen South/Ea|Drammen NO Chat1|Drammen NO Chat2|Drammen NO Chat3","434.52500|434.52500|434.52500|434.52500|434.52500|434.52500|434.52500|434.52500","432.52500|432.52500|432.52500|432.52500|432.52500|432.52500|432.52500|432.52500","Drammen Lokal","434.52500","432.52500","Drammen 242","434.52500","432.52500"
"22","DMR Kongsvinger","Kongsv Lokal|Kongsv 242|Kongsv South/Eas|Kongsv NO Chat 1|Kongsv NO Chat 2|Kongsv NO Chat 3","434.62500|434.62500|434.62500|434.62500|434.62500|434.62500","432.62500|432.62500|432.62500|432.62500|432.62500|432.62500","Kongsv Lokal","434.62500","432.62500","Kongsv 242","434.62500","432.62500"
"23","DMR KongsvingerB","KongsvB 242|KongsvB NO Chat4|KongsvB NO Chat3|KongsvB NO Chat2|KongsvB NO Chat1|KongsvB NO S/E","434.56250|434.56250|434.56250|434.56250|434.56250|434.56250","432.56250|432.56250|432.56250|432.56250|432.56250|432.56250","KongsvB 242","434.56250","432.56250","KongsvB 242","434.56250","432.56250"
"24","DMR Kongsberg","Kongsberg lokal|Kongsberg 242|Kongsb NO Chat 3|Kongsb NO Chat 2|Kongsb NO Chat 1|Kongsb South/Eas|Kongsb NO Chat 4","434.83750|434.83750|434.83750|434.83750|434.83750|434.83750|434.83750","432.83750|432.83750|432.83750|432.83750|432.83750|432.83750|432.83750","Kongsberg lokal","434.83750","432.83750","Kongsberg 242","434.83750","432.83750"
"25","DMR Geilo","Geilo Lokal|Geilo 242|Geilo North|Geilo West|Geilo Central|Geilo South/East|Geilo Parrot|Geilo Chat 4|Geilo Chat 3|Geilo Chat 2|Geilo Chat 1","434.65000|434.65000|434.65000|434.65000|434.65000|434.65000|434.65000|434.65000|434.65000|434.65000|434.65000","432.65000|432.65000|432.65000|432.65000|432.65000|432.65000|432.65000|432.65000|432.65000|432.65000|432.65000","Geilo Lokal","434.65000","432.65000","Geilo 242","434.65000","432.65000"
"26","DMR Toensberg","Toensb Lokal|Toensb 242|Toensb 24211|Toensb 242800|Toensb South/Eas|Toensb NO Chat 1|Toensb NO Chat 2|Toensb NO Chat 3","434.55000|434.55000|434.55000|434.55000|434.55000|434.55000|434.55000|434.55000","432.55000|432.55000|432.55000|432.55000|432.55000|432.55000|432.55000|432.55000","Toensb Lokal","434.55000","432.55000","Toensb 242","434.55000","432.55000"
"27","DMR Arendal","Arendal lokal|Arendal 242|Arendal North|Arendal West|Arendal Central|Arendal South|Arendal Parrot|Arendal Chat 4|Arendal Chat 3|Arendal Chat 2|Arendal Chat 1","434.70000|434.70000|434.70000|434.70000|434.70000|434.70000|434.70000|434.70000|434.70000|434.70000|434.70000","432.70000|432.70000|432.70000|432.70000|432.70000|432.70000|432.70000|432.70000|432.70000|432.70000|432.70000","Arendal lokal","434.70000","432.70000","Arendal 242","434.70000","432.70000"
"28","DMR Skien","Skien Lokal|Skien 242|Skien 242800|Skien South/East|Skien NO Chat 1|Skien NO Chat 2|Skien NO Chat 3","434.51250|434.51250|434.51250|434.51250|434.51250|434.51250|434.51250","432.51250|432.51250|432.51250|432.51250|432.51250|432.51250|432.51250","Skien Lokal","434.51250","432.51250","Skien 242","434.51250","432.51250"
"29","DMR Hvittingen","Hvitt Lokal|Hvitt 242|Hvitt 242800|Hvitt South/East|Hvitt NO Chat 1|Hvitt NO Chat 2|Hvitt NO Chat 3","434.65000|434.65000|434.65000|434.65000|434.65000|434.65000|434.65000","432.65000|432.65000|432.65000|432.65000|432.65000|432.65000|432.65000","Hvitt Lokal","434.65000","432.65000","Hvitt 242","434.65000","432.65000"
"30","DMR Egersund","Egersund lokal|Egersund 242|Egersund Chat 1|Egersund Chat 2|Egersund Chat 3|Egersund Chat 4|Egersund Parrot|Egersund South/E|Egersund Cebtral|Egersund West|Egersund North","145.58750|145.58750|145.58750|145.58750|145.58750|145.58750|145.58750|145.58750|145.58750|145.58750|145.58750","144.98750|144.98750|144.98750|144.98750|144.98750|144.98750|144.98750|144.98750|144.98750|144.98750|144.98750","Egersund lokal","145.58750","144.98750","Egersund Chat 1","145.58750","144.98750"
"31","DMR Haugesund","Haugesund Lokal|Haugesund 242|Hauges No Chat 4|Hauges No Chat 3|Hauges No Chat 2|Hauges No Chat 1|Haugesund NO Wes","434.75000|434.75000|434.75000|434.75000|434.75000|434.75000|434.75000","432.75000|432.75000|432.75000|432.75000|432.75000|432.75000|432.75000","Haugesund Lokal","434.75000","432.75000","Haugesund 242","434.75000","432.75000"
"32","DMR Bergen","Bergen Lokal|Bergen 242|Bergen NO Chat 4|Bergen NO Chat 3|Bergen NO Chat 2|Bergen NO Chat 1|Bergen NO West","434.82500|434.82500|434.82500|434.82500|434.82500|434.82500|434.82500","432.82500|432.82500|432.82500|432.82500|432.82500|432.82500|432.82500","Bergen Lokal","434.82500","432.82500","Bergen 242","434.82500","432.82500"
"33","DMR Stavanger","Stavanger Lokal|Stavanger 242|Stavanger NO Ch4|Stavanger NO Ch3|Stavanger NO Ch2|Stavanger NO Ch1|Stavanger NO Wes","434.97500|434.97500|434.97500|434.97500|434.97500|434.97500|434.97500","432.97500|432.97500|432.97500|432.97500|432.97500|432.97500|432.97500","Stavanger Lokal","434.97500","432.97500","Stavanger 242","434.97500","432.97500"
"34","DMR Kvines","Kvines lokal|Kvines 242|Kvines North|Kvines Cebtral|Kvines Central|Kvines South|Kvines Parrot|Kvines Chat 4|Kvines Chat 3|Kvines Chat 2|Kvines Chat 1","145.76250|145.76250|145.76250|145.76250|145.76250|145.76250|145.76250|145.76250|145.76250|145.76250|145.76250","145.16250|145.16250|145.16250|145.16250|145.16250|145.16250|145.16250|145.16250|145.16250|145.16250|145.16250","Kvines lokal","145.76250","145.16250","Kvines 242","145.76250","145.16250"
"35","DMR Modum","Modum lokal|Modum 242|Modum South/East|Modum Chat 1|Modum Chat 2|Modum Chat 3","434.70000|434.70000|434.70000|434.70000|434.70000|434.70000","432.70000|432.70000|432.70000|432.70000|432.70000|432.70000","Modum lokal","434.70000","432.70000","Modum 242","434.70000","432.70000"
"36","DMR Hamar","Kolsaas NO Chat4|Kolsaas NO Parro|Kongsv 242|Kongsv Lokal|Modum Chat 3|Modum Chat 2|Modum South/East|Modum 242|Modum lokal|Modum Chat 1","434.92500|434.92500|434.62500|434.62500|434.70000|434.70000|434.70000|434.70000|434.70000|434.70000","432.92500|432.92500|432.62500|432.62500|432.70000|432.70000|432.70000|432.70000|432.70000|432.70000","Kolsaas NO Chat4","434.92500","432.92500","Kolsaas NO Parro","434.92500","432.92500"
"37","DMR Mosjoen","Mosjoen Lokal|Mosjoen 242|Mosjoen NO Chat4|Mosjoen NO Chat3|Mosjoen NO Chat2|Mosjoen NO Chat1|Mosjoen NO North","434.82500|434.82500|434.82500|434.82500|434.82500|434.82500|434.82500","432.82500|432.82500|432.82500|432.82500|432.82500|432.82500|432.82500","Mosjoen Lokal","434.82500","432.82500","Mosjoen 242","434.82500","432.82500"
"38","DMR Fauske","Fauske lokal|Fauske 242|Fauske North|Fauske West|Fauske Central|Fauske South/Eas|Fauske Parrot|Fauske Chat4|Fauske Chat3|Fauske Chat2|Fauske Chat1","434.95000|434.95000|434.95000|434.95000|434.95000|434.95000|434.95000|434.95000|434.95000|434.95000|434.95000","432.95000|432.95000|432.95000|432.95000|432.95000|432.95000|432.95000|432.95000|432.95000|432.95000|432.95000","Fauske lokal","434.95000","432.95000","Fauske 242","434.95000","432.95000"
"39","DMR Sandnessjoen","Sandnessj Lokal|Sandnessj 242|Sandnessj NO Ch4|Sandnessj NO Ch3|Sandnessj NO Ch2|Sandnessj NO Ch1|Sandnessj NO Nor","434.80000|434.80000|434.80000|434.80000|434.80000|434.80000|434.80000","432.80000|432.80000|432.80000|432.80000|432.80000|432.80000|432.80000","Sandnessj Lokal","434.80000","432.80000","Sandnessj 242","434.80000","432.80000"
"40","DMR Sandnessj2","Sandnessj2 lokal|Sandnessj2 242|Sandnessj2 North|Sandnessj2 West|Sandnessj2 Cent|Sandnessj2 SE|Sandnessj2 Parro|Sandnessj2 Chat4|Sandnessj2 Chat3|Sandnessj2 Chat2|Sandnessj2 Chat1","434.97500|434.97500|434.97500|434.97500|434.97500|434.97500|434.97500|434.97500|434.97500|434.97500|434.97500","432.97500|432.97500|432.97500|432.97500|432.97500|432.97500|432.97500|432.97500|432.97500|432.97500|432.97500","Sandnessj2 lokal","434.97500","432.97500","Sandnessj2 242","434.97500","432.97500"
"41","DMR Mo i Rana","MoiRana Lokal|MoiRana 242|MoiRana NO Chat4|MoiRana NO Chat3|MoiRana NO Chat2|MoiRana NO Chat1|MoiRana NO North","434.85000|434.85000|434.85000|434.85000|434.85000|434.85000|434.85000","432.85000|432.85000|432.85000|432.85000|432.85000|432.85000|432.85000","MoiRana Lokal","434.85000","432.85000","MoiRana 242","434.85000","432.85000"
"42","DMR Harstad","Harstad Lokal|Harstad 242|Harstad NO Chat4|Harstad NO Chat3|Harstad NO Chat2|Harstad NO Chat1|Harstad NO North","434.80000|434.80000|434.80000|434.80000|434.80000|434.80000|434.80000","432.80000|432.80000|432.80000|432.80000|432.80000|432.80000|432.80000","Harstad Lokal","434.80000","432.80000","Harstad 242","434.80000","432.80000"
"43","DMR Loedingen","Loeding Lokal|Loeding 242|Loeding NO Chat4|Loeding NO Chat3|Loeding NO Chat2|Loeding NO Chat1|Loeding NO North","434.62500|434.62500|434.62500|434.62500|434.62500|434.62500|434.62500","432.62500|432.62500|432.62500|432.62500|432.62500|432.62500|432.62500","Loeding Lokal","434.62500","432.62500","Loeding 242","434.62500","432.62500"
"44","DMR Bardufoss","Bardu Lokal|Bardu 242|Bardu NO Chat 4|Bardu NO Chat 3|Bardu NO Chat 2|Bardu NO Chat 1|Bardu NO North","434.65000|434.65000|434.65000|434.65000|434.65000|434.65000|434.65000","432.65000|432.65000|432.65000|432.65000|432.65000|432.65000|432.65000","Bardu Lokal","434.65000","432.65000","Bardu 242","434.65000","432.65000"
"45","DMR Narvik","Narvik lokal|Narvik 242|Narvik North|Narvik West|Narvik Central|Narvik south/Eas|Narvik Parrot|Narvik Chat4|Narvik Chat3|Narvik Chat2|Narvik Chat1","434.75000|434.75000|434.75000|434.75000|434.75000|434.75000|434.75000|434.75000|434.75000|434.75000|434.75000","432.75000|432.75000|432.75000|432.75000|432.75000|432.75000|432.75000|432.75000|432.75000|432.75000|432.75000","Narvik lokal","434.75000","432.75000","Narvik 242","434.75000","432.75000"
"46","DMR Tromsoe","Tromsoe Lokal|Tromsoe 242|Tromsoe 24296|Tromsoe 24295|Tromsoe NO Chat4|Tromsoe NO Chat3|Tromsoe NO Chat2|Tromsoe NO Chat1|Tromsoe NO North","434.80000|434.80000|434.80000|434.80000|434.80000|434.80000|434.80000|434.80000|434.80000","432.80000|432.80000|432.80000|432.80000|432.80000|432.80000|432.80000|432.80000|432.80000","Tromsoe Lokal","434.80000","432.80000","Tromsoe 242","434.80000","432.80000"
"47","DMR Bodoe","Bodoe lokal|Bodoe 242|Bodoe North|Bodoe Chat 1|Bodoe Chat 2|Bodoe Chat 3|Bodoe Chat 4","434.67500|434.67500|434.67500|434.67500|434.67500|434.67500|434.67500","432.67500|432.67500|432.67500|432.67500|432.67500|432.67500|432.67500","Bodoe lokal","434.67500","432.67500","Bodoe 242","434.67500","432.67500"
"48","DMR Bislingen","Bislingen lokal|Bislingen 242|Bislingen 242666|Bislingen 242675|Bislingen Chat 1|Bislingen Chat 2|Bislingen Chat 3|Bislingen Chat 4|Bislingen SE","434.60000|434.60000|434.60000|434.60000|434.60000|434.60000|434.60000|434.60000|434.60000","432.60000|432.60000|432.60000|432.60000|432.60000|432.60000|432.60000|432.60000|432.60000","Bislingen lokal","434.60000","432.60000","Bislingen 242","434.60000","432.60000"
"70","DMR Simplex","Simplex 01 S1|Simplex 01 S2|Simplex 02 C S1|Simplex 02 C S2|Simplex 03 S1|Simplex 03 S2","433.42500|433.42500|433.45000|433.45000|433.47500|433.47500","433.42500|433.42500|433.45000|433.45000|433.47500|433.47500","Simplex 02 C S1","433.45000","433.45000","Simplex 02 C S2","433.45000","433.45000"
"75","DMR HS 1","HS1 242 Norway|HS1 Selected 1|HS1 Selected 2|HS1 24201 Chat 1|HS1 24202 Chat 2|HS1 24203 Chat 3|HS1 24204 Chat 4|HS1 91 Worldwide|HS1 Local|HS1 Parrot|HS1 242999 DPRS|HS1 Disconnect","433.62500|433.62500|433.62500|433.62500|433.62500|433.62500|433.62500|433.62500|433.62500|433.62500|433.62500|433.62500","433.62500|433.62500|433.62500|433.62500|433.62500|433.62500|433.62500|433.62500|433.62500|433.62500|433.62500|433.62500","HS1 242 Norway","433.62500","433.62500","HS1 242 Norway","433.62500","433.62500"
"76","DMR HS 2","HS2 242 Norway|HS2 Selected 1|HS2 Selected 2|HS2 24201 Chat 1|HS2 24202 Chat 2|HS2 24203 Chat 3|HS2 24204 Chat 4|HS2 91 Worldwide|HS2 Local|HS2 Parrot|HS2 242999 DPRS|HS2 Disconnect","433.67500|433.67500|433.67500|433.67500|433.67500|433.67500|433.67500|433.67500|433.67500|433.67500|433.67500|433.67500","433.67500|433.67500|433.67500|433.67500|433.67500|433.67500|433.67500|433.67500|433.67500|433.67500|433.67500|433.67500","HS2 242 Norway","433.67500","433.67500","HS2 242 Norway","433.67500","433.67500"
"77","DMR Duplex","HS3 242 Norway|HS3 Selected S1|HS3 Selected S2|HS3 24201 Chat 1|HS3 24202 Chat 2|HS3 24203 Chat 3|HS3 24204 Chat 4|HS3 91 Worldwide|HS3 Local S1|HS3 Local S2|HS3 Parrot S1|HS3 Parrot S2|HS3 242999 DPRS|HS3 Disconnec S1|HS3 Dissconne S2","434.52500|434.52500|434.52500|434.52500|434.52500|434.52500|434.52500|434.52500|434.52500|434.52500|434.52500|434.52500|434.52500|434.52500|434.52500","432.52500|432.52500|432.52500|432.52500|432.52500|432.52500|432.52500|432.52500|432.52500|432.52500|432.52500|432.52500|432.52500|432.52500|432.52500","HS3 242 Norway","434.52500","432.52500","HS3 242 Norway","434.52500","432.52500"
"101","PMR 446","PMR446 01|PMR446 02|PMR446 03|PMR446 04|PMR446 05|PMR446 06|PMR446 07|PMR446 08|DMR446 S1 01|DMR446 S1 02|DMR446 S1 03|DMR446 S1 04|DMR446 S1 05|DMR446 S1 06|DMR446 S1 07|DMR446 S1 08|DMR446 S2 01|DMR446 S2 02|DMR446 S2 03|DMR446 S2 04|DMR446 S2 05|DMR446 S2 06|DMR446 S2 07|DMR446 S2 08","446.00630|446.01880|446.03130|446.04380|446.05630|446.06880|446.08130|446.09380|446.10625|446.11875|446.13125|446.14375|446.15625|446.16875|446.19375|446.10625|446.10625|446.11875|446.13125|446.14375|446.15625|446.16875|446.18125|446.19375","446.00630|446.01880|446.03130|446.04380|446.05630|446.06880|446.08130|446.09380|446.10625|446.11875|446.13125|446.14375|446.15625|446.16875|446.19375|446.10625|446.10625|446.11875|446.13125|446.14375|446.15625|446.16875|446.18125|446.19375","PMR446 01","446.00630","446.00630","PMR446 02","446.01880","446.01880"
"102","KDR 444","KDR444 01|KDR444 02|KDR444 03|KDR444 04|KDR444 05|KDR444 06","444.60000|444.65000|444.80000|444.82500|444.85000|444.60000","444.60000|444.65000|444.80000|444.82500|444.85000|444.60000","KDR444 01","444.60000","444.60000","KDR444 01","444.60000","444.60000"
